project,classifier,threshold,AUC,MCC
shenyu,XGB,0.5-0.5-0.5,0.77,0.34
phpredis,XGB,0.6-0.6-0.6,0.7,0.16
janusgraph,RandomForest,0.4-0.4-0.4,0.56,0.11
XChange,RandomForest,0.5-0.5-0.5,0.6,0.18
redis,RandomForest,0.5-0.5-0.5,0.69,0.14
phpredis,RandomForest,0.6-0.6-0.6,0.56,-0.02
SoftEtherVPN,XGB,0.4-0.4-0.4,0.45,-0.12
netty,XGB,0.5-0.5-0.5,0.74,0.18
presto,XGB,0.4-0.4-0.4,0.69,0.36
janusgraph,RandomForest,0.7-0.7-0.7,0.82,0.28
nng,CatBoost,0.5-0.5-0.5,0.73,0.1
gatk,RandomForest,0.4-0.4-0.4,0.61,0.03
collectd,XGB,0.6-0.6-0.6,0.81,0.13
cleanflight,XGB,0.5-0.5-0.5,0.84,0.67
samtools,RandomForest,0.4-0.4-0.4,0.38,-0.37
radare2,XGB,0.5-0.5-0.5,0.78,0.17
MinecraftForge,XGB,0.6-0.6-0.6,0.83,0.16
mockito,RandomForest,0.6-0.6-0.6,0.9,0.77
maxwell,RandomForest,0.3-0.3-0.3,0.8,0
lvgl,XGB,0.5-0.5-0.5,0.54,0.02
InfiniTime,XGB,0.6-0.6-0.6,0.73,0.46
radare2,CatBoost,0.5-0.5-0.5,0.82,0.15
lvgl,RandomForest,0.6-0.6-0.6,0.71,0.11
shenyu,RandomForest,0.3-0.3-0.3,0.66,0.34
flatpak,RandomForest,0.4-0.4-0.4,0.65,0.3
iceberg,RandomForest,0.5-0.5-0.5,0.84,0.62
baritone,RandomForest,0.5-0.5-0.5,0.88,0.76
XChange,RandomForest,0.6-0.6-0.6,0.75,0.31
i3,XGB,0.6-0.6-0.6,0.82,0.31
open5gs,RandomForest,0.5-0.5-0.5,0.73,0.3
klipper,XGB,0.6-0.6-0.6,0.9,0.36
inav,XGB,0.4-0.4-0.4,0.83,0.67
i3,RandomForest,0.7-0.7-0.7,0.87,0.24
framework,XGB,0.5-0.5-0.5,0.7,0.33
maxwell,XGB,0.4-0.4-0.4,1,1
RxJava,RandomForest,0.7-0.7-0.7,0.94,0.14
phpredis,RandomForest,0.5-0.5-0.5,0.52,0.01
InfiniTime,RandomForest,0.5-0.5-0.5,0.82,0.64
Rajawali,RandomForest,0.4-0.4-0.4,0.56,0.08
SoftEtherVPN,XGB,0.6-0.6-0.6,0.53,-0.1
druid,RandomForest,0.5-0.5-0.5,0.86,0.04
swagger-core,XGB,0.4-0.4-0.4,0.67,0.33
WinObjC,RandomForest,0.6-0.6-0.6,0.95,0.9
presto,XGB,0.6-0.6-0.6,0.78,0.24
netdata,RandomForest,0.5-0.5-0.5,0.73,0.2
janusgraph,XGB,0.3-0.3-0.3,0.59,0.13
premake-core,RandomForest,0.5-0.5-0.5,0.86,0.68
graylog2-server,RandomForest,0.5-0.5-0.5,0.5,-0.14
lxc,RandomForest,0.7-0.7-0.7,0.87,0.17
Mekanism,RandomForest,0.7-0.7-0.7,0.95,0.24
lxc,RandomForest,0.4-0.4-0.4,0.58,0.14
redis,XGB,0.6-0.6-0.6,0.79,0.15
glide,RandomForest,0.6-0.6-0.6,0.66,0.13
inav,RandomForest,0.7-0.7-0.7,0.97,0.84
InfiniTime,RandomForest,0.3-0.3-0.3,0.93,0.83
samtools,XGB,0.7-0.7-0.7,0.75,0.1
MinecraftForge,RandomForest,0.6-0.6-0.6,0.65,-0.13
framework,XGB,0.7-0.7-0.7,0.87,0.08
